MERCHANT_CODE,category,sub_category
DOSALESFORCE24017K2x,Ẩm thực,Nhà hàng - Quán ăn
DOSALESFORCE23356WwD,Sức khỏe - Làm đẹp,Spa - Thẩm mỹ
MPAULACHOICE,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc"
108984694SCTTHALONG,Ẩm thực,Cửa hàng kem/bánh/kẹo
DOSALESFORCE23359nRU,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc"
DOSALESFORCE23341QvX,Ẩm thực,Bệnh viện - Phòng khám
DOSALESFORCE23359SIO,Thời trang và Phong cách sống,Thời trang
MOID20315KFW,Vận tải - Giao vận,Hàng không
DOSALESFORCE24018VQL,Ẩm thực,Nhà hàng - Quán ăn
315798431FLOWERSTORE,Nhà cửa - Đời sống,Hoa & Quà lưu niệm
DOSALESFORCE240191s3,Ẩm thực,Đồ uống
DOSALESFORCE23058FeM,Sức khỏe - Làm đẹp,Spa - Thẩm mỹ
xXC,Thương mại điện tử,Thương mại điện tử
